Treatment,Hive,Mites1,Bees1,Spores1,Mites2,Bees2,Spores2,Mites3,Bees3,Spores3,Mites4,Bees4,Spores4,Mites5,Bees5,Spores5
F,26,0,218,0,0,202,3,0,241,0,1,230,39,0,349,7
F,27,2,203,0,2,175,1,0,211,4,0,262,66,0,355,3
F,28,0,209,0,0,181,0,0,207,1,0,256,14,0,286,16
F,29,2,170,2,0,222,1,0,167,34,0,250,32,0,302,22
F,30,0,209,0,0,216,,0,143,9,0,256,73,0,260,10
H,1,0,208,0,0,160,4,0,218,43,0,178,76,,,
H,2,0,219,0,0,182,1,0,2123,16,0,218,70,1,245,6
H,3,0,180,3,0,193,1,0,176,12,0,185,37,0,243,13
H,4,0,177,8,0,186,0,1,237,0,0,209,16,0,255,9
H,5,18,228,3,1,172,1,0,263,2,0,170,180,0,219,20
H,6,1,173,0,1,171,0,0,253,34,1,196,20,2,248,0
H,7,1,216,0,2,189,0,0,217,11,0,206,277,,,
H,8,0,257,0,0,191,0,0,243,18,0,169,22,2,210,0
H,9,0,233,0,3,266,1,0,205,6,1,210,59,1,269,5
H,10,0,237,1,1,251,6,0,194,6,0,188,35,1,258,20
H,11,0,213,1,0,313,5,0,248,18,0,193,63,0,243,2
H,12,1,233,0,4,215,0,2,253,3,0,185,24,0,236,3
H,13,1,248,0,0,319,1,0,223,23,0,220,30,0,357,7
H,14,0,240,0,0,250,0,0,203,9,0,189,27,0,253,4
H,15,0,194,6,0,255,3,0,218,39,0,217,12,,,
H,16,0,227,0,1,275,2,0,259,82,0,233,14,0,357,6
H,17,0,214,0,0,177,1,0,144,38,0,243,9,1,346,3
H,18,2,265,1,0,235,2,0,164,7,0,178,135,0,328,55
H,19,2,228,0,2,226,0,0,154,25,0,208,33,1,317,1
H,20,2,240,6,1,241,1,0,160,44,0,209,14,0,349,8
H,21,1,228,1,0,186,3,0,224,13,0,204,18,1,309,13
H,22,0,266,26,0,204,0,,,,0,243,24,0,291,6
H,23,21,214,0,6,263,6,0,158,7,0,191,21,0,348,1
H,24,0,201,1,1,232,1,1,226,5,0,222,7,0,288,1
H,25,1,191,0,0,232,12,0,158,26,0,276,3,0,381,3
H,26,0,218,1,0,246,0,0,186,15,0,240,0,1,362,0
H,27,1,203,0,6,205,13,2,243,3,0,117,30,,,
H,28,2,196,0,5,213,3,1,244,24,0,195,0,0,317,18
H,29,0,202,16,4,221,33,1,219,81,0,208,3,1,237,1
H,30,0,141,1,0,209,1,0,241,19,0,209,119,0,124,144
